Time,X,Y,Z
126.1,0,56.55929187,28.75625499
126.2,0,56.48722185,28.65760327
126.3,0,56.41497976,28.55907748
126.4,0,56.34256581,28.46067794
126.5,0,56.26998024,28.36240493
126.6,0,56.19722326,28.26425875
126.7,0,56.1242951,28.16623971
126.8,0,56.05119597,28.0683481
126.9,0,55.97792609,27.97058423
127,0,55.9044857,27.87294838
127.1,0,55.83087502,27.77544086
127.2,0,55.75709426,27.67806196
127.3,0,55.68314366,27.58081198
127.4,0,55.60902344,27.48369122
127.5,0,55.53473382,27.38669997
127.6,0,55.46027503,27.28983853
127.7,0,55.38564731,27.19310719
127.8,0,55.31085087,27.09650624
127.9,0,55.23588594,27.00003599
128,0,55.16075275,26.90369673
128.1,0,55.08545154,26.80748874
128.2,0,55.00998252,26.71141232
128.3,0,54.93434594,26.61546777
128.4,0,54.85854201,26.51965538
128.5,0,54.78257098,26.42397544
128.6,0,54.70643307,26.32842823
128.7,0,54.63012851,26.23301406
128.8,0,54.55365755,26.1377332
128.9,0,54.4770204,26.04258596
129,0,54.4002173,25.94757263
129.1,0,54.32324849,25.85269348
129.2,0,54.24611421,25.75794881
129.3,0,54.16881468,25.66333892
129.4,0,54.09135014,25.56886408
129.5,0,54.01372084,25.47452458
129.6,0,53.93592699,25.38032072
129.7,0,53.85796885,25.28625277
129.8,0,53.77984665,25.19232104
129.9,0,53.70156063,25.09852579
130,0,53.62311102,25.00486732
130.1,0,53.54449806,24.91134592
130.2,0,53.465722,24.81796186
130.3,0,53.38678308,24.72471543
130.4,0,53.30768153,24.63160693
130.5,0,53.22841759,24.53863662
130.6,0,53.14899151,24.44580479
130.7,0,53.06940353,24.35311173
130.8,0,52.9896539,24.26055772
130.9,0,52.90974284,24.16814304
131,0,52.82967062,24.07586797
131.1,0,52.74943746,23.98373279
131.2,0,52.66904362,23.89173779
131.3,0,52.58848935,23.79988324
131.4,0,52.50777487,23.70816943
131.5,0,52.42690046,23.61659662
131.6,0,52.34586633,23.52516511
131.7,0,52.26467276,23.43387517
131.8,0,52.18331998,23.34272708
131.9,0,52.10180824,23.25172112
132,0,52.02013778,23.16085755
132.1,0,51.93830887,23.07013667
132.2,0,51.85632174,22.97955875
132.3,0,51.77417665,22.88912405
132.4,0,51.69187384,22.79883287
132.5,0,51.60941358,22.70868547
132.6,0,51.5267961,22.61868212
132.7,0,51.44402166,22.52882311
132.8,0,51.36109052,22.4391087
132.9,0,51.27800292,22.34953917
133,0,51.19475911,22.2601148
133.1,0,51.11135936,22.17083584
133.2,0,51.02780392,22.08170258
133.3,0,50.94409304,21.9927153
133.4,0,50.86022697,21.90387424
133.5,0,50.77620597,21.8151797
133.6,0,50.6920303,21.72663194
133.7,0,50.60770021,21.63823122
133.8,0,50.52321597,21.54997783
133.9,0,50.43857782,21.46187202
134,0,50.35378602,21.37391407
134.1,0,50.26884084,21.28610424
134.2,0,50.18374254,21.1984428
134.3,0,50.09849136,21.11093002
134.4,0,50.01308757,21.02356616
134.5,0,49.92753144,20.9363515
134.6,0,49.84182322,20.84928629
134.7,0,49.75596317,20.7623708
134.8,0,49.66995156,20.6756053
134.9,0,49.58378864,20.58899005
135,0,49.49747468,20.50252532
135.1,0,49.41100995,20.41621136
135.2,0,49.3243947,20.33004844
135.3,0,49.2376292,20.24403683
135.4,0,49.15071371,20.15817678
135.5,0,49.0636485,20.07246856
135.6,0,48.97643384,19.98691243
135.7,0,48.88906998,19.90150864
135.8,0,48.8015572,19.81625746
